Date,Value
2017-08-01,4851323356172569600
2017-08-02,1665815538360709120
2017-08-03,305929378071092544
2017-08-04,339026732615086144
2017-08-05,174304853696017248
2017-08-06,289608279480128512
2017-08-07,566708300363906944
2017-08-08,338463996660080512
2017-08-09,367756106767800832
2017-08-10,579593192635818112
2017-08-11,458843186511509120
2017-08-12,385373419300278080
2017-08-13,448013291516993408
2017-08-14,475705147837753920
2017-08-15,593366811528450688
2017-08-16,596655274948573824
2017-08-17,402367961316433856
2017-08-18,432016810414451200
2017-08-19,463151028864214080
2017-08-20,1098319790470857216
2017-08-21,2139950581510531584
2017-08-22,3300745982824486912
2017-08-23,8329931801534483456
2017-08-24,1427078904996275456
2017-08-25,2962382016092972544
2017-08-26,3108852655042034176
2017-08-27,3508455181295992320
2017-08-28,591497889564356736
2017-08-29,956733083547040000
2017-08-30,693085263376721152
2017-08-31,497975252569790720
2017-09-01,597156847059997696
2017-09-02,774777314019672832
2017-09-03,796597993452835584
2017-09-04,723545938347136512
2017-09-05,723632057899575296
2017-09-06,750403706874552448
2017-09-07,1060286342257528448
2017-09-08,1174699766502943488
2017-09-09,1066577429516924672
2017-09-10,882638764755488256
2017-09-11,896495910764784896
2017-09-12,1026065819610275072
2017-09-13,1023265353552289024
2017-09-14,990420743512678784
2017-09-15,950559461917730176
2017-09-16,949521407268393984
2017-09-17,951976633139984640
2017-09-18,1412838609729738496
2017-09-19,1848343204192032256
2017-09-20,1684806646255656960
2017-09-21,1410791940122731264
2017-09-22,1176772240653980672
2017-09-23,2326358775265138688
2017-09-24,1602921051645040896
2017-09-25,1397306816626729984
2017-09-26,1678004567596999936
2017-09-27,1457988525636499968
2017-09-28,583505706164889984
2017-09-29,120430113967360000
2017-09-30,1913443132875899904
2017-10-01,3112062321504399872
2017-10-02,1644760379315800064
2017-10-03,168276053278220000
2017-10-04,2098494921739500032
2017-10-05,3204516204777500160
2017-10-06,314781074796380032
2017-10-07,649657375422550016
2017-10-08,475344389304460032
2017-10-09,412414033615489984
2017-10-10,509339019056960000
2017-10-11,451752531883960000
2017-10-12,1315976514790700032
2017-10-13,2267512772929400064
2017-10-14,396709713726390016
2017-10-15,179629063258600000
2017-10-16,234791819110700000
2017-10-17,132184294054510000
2017-10-18,392503861093160000
2017-10-19,485032746104760000
2017-10-20,503316598217390016
2017-10-21,316534715238680000
2017-10-22,68742977545185000
2017-10-23,323504458172659968
2017-10-24,532349676668240000
2017-10-25,582742115152770048
2017-10-26,1336820408139899904
2017-11-01,450931638209929984
2017-11-02,438576711286689984
2017-11-03,1884742912190099968
2017-11-04,1684563115756000000
2017-11-05,1020646682866899968
2017-11-06,1252467040315599872
2017-11-07,1248438646643699968
2017-11-08,1228490394917199872
2017-11-09,927950152658075392
2017-11-10,1889459438437063936
2017-11-11,4015351895700381696
2017-11-12,5961243036510787584
2017-11-13,5071507255870674944
2017-11-14,1345975857203439872
2017-11-15,1146674257230938368
2017-11-16,1043511156459261824
2017-11-17,836875463623539840
2017-11-18,1469327436102542336
2017-11-19,977637278007371264
2017-11-20,1241725501896719360
2017-11-21,1219797094305250304
2017-11-22,1264480548475219968
2017-11-23,1817718359380330240
2017-11-24,1899269158186606592
2017-11-25,1443692921314393088
2017-11-26,1457117781338674432
2017-11-27,1509029340076175360
2017-11-28,1289481785004084480
2017-11-29,1200986201830211840
2017-11-30,1131737138454010112
2017-12-01,1203174833974143232
2017-12-02,1050909461258834432
2017-12-03,1244078579641560320
2017-12-04,1164465886358115072
2017-12-05,1096993676224444032
2017-12-06,1090781257239345920
2017-12-07,944020114352616448
2017-12-08,793618756047885184
2017-12-09,849038609140811392
2017-12-10,948711795185657728
2017-12-11,849969466396006656
2017-12-12,866318317040422784
2017-12-13,944890281627456640
2017-12-14,1188010878213452288
2017-12-15,853992064882329088
2017-12-16,1121480520927271680
2017-12-17,844405030017590784
2017-12-18,1104185288280564992
2017-12-19,1306550024938548480
2017-12-20,2482903190963474944
2017-12-21,2139478432359894016
2017-12-22,1506861649800284160
2017-12-23,1795036069896742912
2017-12-24,1719480447002244096
2017-12-25,2243207183781810176
2017-12-26,1780991978643769856
2017-12-27,1849309447629660416
2017-12-28,1669243188505564672
2017-12-29,1644393713347619840
2017-12-30,1821019383849764608
2017-12-31,1993977507592345344
2018-01-01,1966877334461914112
2018-01-02,1726774757867747072
2018-01-03,1970043844592749312
2018-01-04,1727702717386287104
2018-01-05,1651108334340604160
2018-01-06,1614318094078353152
2018-01-07,1748986009582790400
2018-01-08,1684447220155322880
2018-01-09,1644759814035768832
2018-01-10,1921690424985922816
2018-01-11,2127123324528623616
2018-01-12,2044139129793773824
2018-01-13,2336287522208205312
2018-01-14,2352415540565466624
2018-01-15,2280130719813422080
2018-01-16,2129785692310872576
2018-01-17,1781860085962428672
2018-01-18,2002020047980961280
2018-01-19,1921875191770583296
2018-01-20,2323251051486151680
2018-01-21,2108879532036950272
2018-01-22,2014409118603891712
2018-01-23,2219683609525934336
2018-01-24,2250358062116892416
2018-01-25,2496482959661824512
2018-01-26,2269928559918746624
2018-01-27,2362531086473466368
2018-01-28,2516152717941063168
2018-01-29,2265914233560702720
2018-01-30,2986343332224950272
2018-01-31,2228750395326555136
2018-02-01,2627046786691785728
2018-02-02,2213441828261382912
2018-02-03,2392764728522382336
2018-02-04,2340847713144675328
2018-02-05,2211906158662574336
2018-02-06,2283890016855959552
2018-02-07,2459718036715843072
2018-02-08,2820243566189352960
2018-02-09,3069153746688531456
2018-02-10,3120262032402567680
2018-02-11,2975497389989304320
2018-02-12,3184090036480775680
2018-02-13,2627146128421575168
2018-02-14,3262102690155816960
2018-02-15,3006763627544953344
2018-02-16,2984779048113972224
2018-02-17,2750944403870455808
2018-02-18,3014347507452105728
2018-02-19,3574589053725125632
2018-02-20,2415517680469299712
2018-02-21,2791427739742620672
2018-02-22,2356472194740531200
2018-02-23,2731633104883356160
2018-02-24,3004759349035232768
2018-02-25,2473861825443782656
2018-02-26,2574996202312827904
2018-02-27,2535815363596168192
2018-02-28,2537192347478404608
2018-03-01,2545218215915583488
2018-03-02,2542015883304403968
2018-03-03,2427325121888306176
2018-03-04,2397677216225366528
2018-03-05,2766884896949680128
2018-03-06,2559793291972059648
2018-03-07,2556005122986469888
2018-03-08,2599043751208351744
2018-03-09,2932425390688861184
2018-03-10,2393037207965261824
2018-03-11,2926808445421560832
2018-03-12,2540455541289123328
2018-03-13,2688503197954569216
2018-03-14,2714528532021553664
2018-03-15,2542060873710446592
2018-03-16,2701417823666560512
2018-03-17,2832985327151367680
2018-03-18,2829730195073078784
2018-03-19,2710023852481731584
2018-03-20,2827551251736694784
2018-03-21,3071305371219296256
2018-03-22,2692460176424011776
2018-03-23,2707735552030142464
2018-03-24,2725046308584923648
2018-03-25,2727049936055709696
2018-03-26,2758679268132125184
2018-03-27,2803959578630017024
2018-03-28,2723965212834124288
2018-03-29,2458593234195640320
2018-03-30,2591684057828538880
2018-03-31,2300848739052252416
2018-04-01,2457655548480793600
2018-04-02,2447796044038640640
2018-04-03,2262397132312282368
2018-04-04,2366383501773091840
2018-04-05,2675001061163062784
2018-04-06,2275569779304389888
2018-04-07,2299646601368784128
2018-04-08,2415862688339460608
2018-04-09,2519887920721812992
2018-04-10,2292641569339928576
2018-04-11,2536190782704723968
2018-04-12,2494229277588270080
2018-04-13,2386617567233734144
2018-04-14,2556035645948470272
2018-04-15,2806481554093485568
2018-04-16,2545590533677202944
